country,number,count
World,1,33
World,2,39
World,3,35
World,4,31
World,5,25
World,6,21
World,7,22
World,8,22
World,9,8
US,1,130
US,2,11
US,3,7
US,4,8
US,5,9
US,6,7
US,7,9
US,8,7
US,9,10
Brazil,1,63
Brazil,2,21
Brazil,3,15
Brazil,4,16
Brazil,5,14
Brazil,6,14
Brazil,7,14
Brazil,8,11
Brazil,9,13
India,1,39
India,2,36
India,3,27
India,4,22
India,5,19
India,6,16
India,7,17
India,8,6
India,9,5
Mexico,1,34
Mexico,2,29
Mexico,3,25
Mexico,4,23
Mexico,5,23
Mexico,6,27
Mexico,7,8
Mexico,8,4
Mexico,9,6
United Kingdom,1,19
United Kingdom,2,23
United Kingdom,3,51
United Kingdom,4,85
United Kingdom,5,3
United Kingdom,6,2
United Kingdom,7,4
United Kingdom,8,3
United Kingdom,9,2
Italy,1,27
Italy,2,32
Italy,3,133
Italy,4,3
Italy,5,2
Italy,6,3
Italy,7,3
Italy,8,2
Italy,9,1
France,1,34
France,2,89
France,3,70
France,4,6
France,5,2
France,6,3
France,7,2
France,8,3
France,9,3
Peru,1,54
Peru,2,49
Peru,3,18
Peru,4,10
Peru,5,13
Peru,6,7
Peru,7,10
Peru,8,8
Peru,9,9
Spain,1,23
Spain,2,155
Spain,3,4
Spain,4,1
Spain,5,6
Spain,6,2
Spain,7,1
Spain,8,2
Spain,9,1
Iran,1,69
Iran,2,38
Iran,3,10
Iran,4,12
Iran,5,15
Iran,6,20
Iran,7,18
Iran,8,15
Iran,9,11
Colombia,1,65
Colombia,2,33
Colombia,3,17
Colombia,4,14
Colombia,5,13
Colombia,6,13
Colombia,7,8
Colombia,8,8
Colombia,9,5
Russia,1,95
Russia,2,13
Russia,3,13
Russia,4,12
Russia,5,10
Russia,6,9
Russia,7,9
Russia,8,9
Russia,9,9
South Africa,1,71
South Africa,2,25
South Africa,3,14
South Africa,4,11
South Africa,5,15
South Africa,6,8
South Africa,7,9
South Africa,8,8
South Africa,9,10
Chile,1,61
Chile,2,20
Chile,3,16
Chile,4,13
Chile,5,12
Chile,6,14
Chile,7,8
Chile,8,14
Chile,9,18
Argentina,1,53
Argentina,2,32
Argentina,3,24
Argentina,4,19
Argentina,5,16
Argentina,6,13
Argentina,7,8
Argentina,8,13
Argentina,9,12
