country,number,difference
United Kingdom,1,3.76%
United Kingdom,2,-2.79%
United Kingdom,3,1.26%
United Kingdom,4,-2.29%
United Kingdom,5,-0.49%
United Kingdom,6,0.71%
United Kingdom,7,-0.51%
United Kingdom,8,-0.34%
United Kingdom,9,0.69%
Chile,1,-6.10%
Chile,2,-5.03%
Chile,3,-4.50%
Chile,4,2.87%
Chile,5,1.24%
Chile,6,3.59%
Chile,7,2.20%
Chile,8,0.61%
Chile,9,5.11%
France,1,1.78%
France,2,4.90%
France,3,0.63%
France,4,-4.70%
France,5,1.47%
France,6,-4.20%
France,7,-0.18%
France,8,0.53%
France,9,-0.22%
Spain,1,-7.52%
Spain,2,1.75%
Spain,3,0.40%
Spain,4,1.27%
Spain,5,1.13%
Spain,6,-0.25%
Spain,7,3.88%
Spain,8,-1.23%
Spain,9,0.56%
Italy,1,-3.76%
Italy,2,-7.36%
Italy,3,-3.23%
Italy,4,2.50%
Italy,5,3.32%
Italy,6,4.03%
Italy,7,4.44%
Italy,8,0.27%
Italy,9,-0.21%
