country,number,count
Benford's Law,1,301
Benford's Law,2,176
Benford's Law,3,125
Benford's Law,4,97
Benford's Law,5,79
Benford's Law,6,67
Benford's Law,7,58
Benford's Law,8,51
Benford's Law,9,46
United Kingdom,1,64
United Kingdom,2,28
United Kingdom,3,26
United Kingdom,4,14
United Kingdom,5,14
United Kingdom,6,14
United Kingdom,7,10
United Kingdom,8,9
United Kingdom,9,10
Spain,1,35
Spain,2,30
Spain,3,20
Spain,4,17
Spain,5,14
Spain,6,10
Spain,7,15
Spain,8,6
Spain,9,8
France,1,51
France,2,36
France,3,21
France,4,8
France,5,15
France,6,4
France,7,9
France,8,9
France,9,7
Italy,1,54
Italy,2,21
Italy,3,19
Italy,4,25
Italy,5,23
Italy,6,22
Italy,7,21
Italy,8,11
Italy,9,9
Chile,1,42
Chile,2,22
Chile,3,14
Chile,4,22
Chile,5,16
Chile,6,18
Chile,7,14
Chile,8,10
Chile,9,17
